                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6515,                 2.5462,                 1.6507,                  1.458,                 4.5765,                 1.4851,                0.00828,                0.64311,                0.17031,                0.08097,                 1.6616,                 3.2705,                 1.7598,                 1.4071,                 6.7712,                 1.5571,             0.00046641,             0.00046641,             0.00046641
                      2,                 1.6939,                 1.8882,                 1.6256,                 1.5157,                 3.9351,                 1.4991,                0.65708,                0.16859,                0.21847,                  0.087,                 1.9717,                 2.5286,                 1.9691,                 1.7382,                 6.0447,                 1.8213,             0.00090541,             0.00090541,             0.00090541
                      3,                 1.6892,                 1.7691,                 1.6051,                 1.5783,                 3.3538,                 1.5175,                0.60244,                0.27797,                0.26253,                0.09966,                 2.1387,                 3.0703,                 2.1198,                 1.9396,                 5.6189,                  1.965,              0.0013067,              0.0013067,              0.0013067
                      4,                 1.6956,                 1.7309,                 1.6134,                  1.626,                 3.0529,                 1.5651,                0.62295,                0.38427,                0.35722,                0.16619,                 1.8108,                   2.11,                 1.8323,                 1.6811,                 4.1301,                  1.742,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.6911,                 1.6702,                 1.6008,                  1.619,                 2.7132,                 1.5331,                0.58744,                0.31389,                0.26761,                0.10786,                 2.0126,                 2.6306,                 2.1216,                 1.9344,                  4.002,                 1.9824,              0.0012592,              0.0012592,              0.0012592
                      6,                 1.6662,                 1.6089,                 1.5628,                 1.6063,                 2.4654,                 1.4826,                0.64157,                0.39601,                0.36672,                0.15603,                  1.839,                 2.1898,                  1.779,                 1.7671,                 3.1141,                 1.6743,              0.0012026,              0.0012026,              0.0012026
                      7,                 1.6603,                 1.5244,                 1.5529,                 1.6269,                 2.1932,                 1.4782,                0.72875,                0.41986,                 0.4774,                0.21688,                  1.861,                  1.608,                 1.7478,                 1.7704,                 2.4133,                 1.6721,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.6171,                 1.4873,                 1.5356,                 1.5852,                 2.0982,                 1.4754,                0.57667,                0.48068,                0.52141,                0.24809,                 1.8012,                 1.4833,                 1.7213,                 1.7374,                 2.1097,                 1.6188,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.6318,                 1.4231,                 1.5379,                 1.6067,                 1.9353,                 1.4719,                 0.7973,                0.43646,                 0.5648,                 0.2609,                 1.7799,                 1.3423,                 1.6669,                 1.7904,                 1.9238,                 1.6263,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.6187,                 1.3971,                 1.5375,                 1.5972,                 1.8348,                 1.4756,                0.60469,                0.50163,                0.57042,                0.26959,                 1.7818,                 1.3459,                 1.6947,                 1.7645,                 1.8416,                 1.6539,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.5895,                 1.3208,                 1.5035,                  1.583,                 1.7136,                 1.4527,                0.74631,                0.52071,                0.61839,                0.29147,                 1.7485,                 1.2488,                 1.6445,                  1.758,                 1.6573,                 1.6077,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.5564,                 1.3043,                 1.4921,                 1.5461,                 1.6768,                 1.4423,                0.64344,                0.59541,                0.63415,                0.29106,                 1.7413,                 1.2887,                 1.6727,                   1.78,                 1.6806,                 1.6268,             0.00086312,             0.00086312,             0.00086312
                     13,                 1.5491,                 1.2663,                 1.4921,                 1.5464,                 1.6013,                 1.4336,                0.59611,                0.64676,                0.64687,                0.31641,                 1.7381,                 1.2706,                 1.6302,                 1.7047,                 1.5856,                 1.5788,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.5309,                 1.2195,                 1.4685,                 1.5364,                 1.5251,                 1.4162,                0.54666,                0.66665,                 0.6624,                0.32404,                  1.691,                 1.0924,                 1.5995,                  1.684,                 1.3345,                 1.5632,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.5206,                 1.1885,                 1.4514,                 1.5332,                 1.4568,                 1.4106,                0.78185,                0.55947,                0.66347,                0.32613,                 1.6776,                 1.1011,                 1.5939,                 1.6828,                  1.334,                 1.5537,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.4853,                 1.0894,                 1.5024,                 1.5063,                 1.3061,                 1.4815,                0.68917,                0.65105,                0.72253,                0.35908,                 1.6972,                 1.0613,                 1.6036,                 1.6694,                 1.2823,                 1.5449,             0.00063676,             0.00063676,             0.00063676
                     17,                 1.5017,                  1.009,                 1.4989,                 1.5119,                 1.2049,                 1.4715,                0.70986,                0.67306,                0.73209,                0.36531,                 1.6902,                 1.0316,                 1.5873,                 1.6662,                 1.2423,                 1.5299,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.4606,                0.98497,                 1.4716,                  1.485,                 1.1696,                 1.4443,                 0.8127,                 0.6279,                0.76149,                0.38093,                  1.669,                 0.9932,                 1.5803,                 1.6806,                  1.166,                 1.5477,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.4355,                0.93618,                 1.4614,                 1.4695,                 1.0919,                  1.444,                0.69057,                0.72601,                0.76778,                0.38618,                 1.6729,                0.97299,                 1.5655,                 1.6949,                 1.1437,                  1.544,               0.000467,               0.000467,               0.000467
                     20,                 1.4162,                0.91767,                  1.445,                 1.4499,                 1.0656,                 1.4213,                0.71541,                0.70898,                0.74976,                0.37621,                  1.646,                0.94962,                 1.5624,                 1.6698,                 1.0972,                 1.5277,             0.00041041,             0.00041041,             0.00041041
                     21,                 1.3992,                0.88845,                 1.4266,                 1.4163,                 1.0181,                 1.3968,                0.70723,                 0.7147,                0.76315,                0.38482,                 1.6638,                0.92679,                 1.5548,                 1.6817,                 1.0736,                 1.5122,             0.00035382,             0.00035382,             0.00035382
                     22,                 1.3699,                0.85669,                 1.4044,                 1.3904,                0.98521,                 1.3733,                0.76999,                 0.7249,                0.78392,                0.41329,                 1.6655,                0.89996,                  1.564,                 1.6663,                 1.0376,                 1.5231,             0.00029723,             0.00029723,             0.00029723
                     23,                 1.3324,                0.82074,                 1.3788,                 1.3589,                0.94442,                 1.3601,                0.79894,                0.69939,                0.79125,                0.40213,                 1.6637,                0.89189,                 1.5594,                 1.6558,                 1.0375,                 1.5137,             0.00024064,             0.00024064,             0.00024064
                     24,                 1.3158,                0.80962,                 1.3736,                 1.3415,                0.92894,                 1.3489,                0.79256,                0.70645,                0.79203,                0.41461,                  1.649,                0.87319,                 1.5501,                 1.6593,                0.99489,                 1.5121,             0.00018406,             0.00018406,             0.00018406
                     25,                 1.2867,                0.77139,                  1.349,                 1.3123,                0.89964,                 1.3338,                0.67639,                0.77083,                0.78646,                0.41411,                 1.6434,                0.86416,                 1.5422,                 1.6459,                0.99313,                 1.5055,             0.00012747,             0.00012747,             0.00012747
